topic_key	topic_cluster_status	file_count	topic_owner_count	topic_owner_claim_count	subcontract_count	supporting_count	candidate_count	topic_index_count	delegated_handoff_count	repo_owner_hint	suggested_repo_topic_folder	suggested_obsidian_topic_folder	topic_next_action	owner_paths	owner_claims	subcontract_paths	subcontract_claims	topic_index_paths	supporting_sample_paths	candidate_paths	sample_paths	digestion_review_count	digestion_status_counts	support_retention_counts	bound_support_sample_paths	compressible_support_sample_paths
docs workflow or historical context	multiple_support_surfaces	10	0	0	0	9	0	1	0	docs/project-layout.md; docs/agent/obsidian-handoff-contract.md	docs/superpowers/topics/docs-workflow/	XIC/20 Archived Plans And Specs/Topic Archives/Docs Workflow Or Historical Context/	keep support files only if they point at the owner and do not redefine the topic	none	none	none	none	docs/superpowers/topics/docs-workflow/README.md	docs/superpowers/README.md; docs/superpowers/file-management/docs-cleanup/2026-06-25_codex-docs-cleanup_file-management-approval-plan.md; docs/superpowers/file-management/docs-cleanup/2026-06-25_codex-docs-cleanup_git-rm-candidate-manifest.md; docs/superpowers/file-management/docs-cleanup/2026-06-29_docs-superpowers-routing-manifest.md; docs/superpowers/file-management/docs-cleanup/2026-06-29_obsidian-source-copy-stub-batch.md; docs/superpowers/file-management/docs-cleanup/2026-06-30_source-copy-stub-removal-approval-packet.md; docs/superpowers/file-management/docs-cleanup/audits/2026-06-25_codex-docs-cleanup_public-surface-stub-audit.md; docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	none	docs/superpowers/README.md; docs/superpowers/file-management/docs-cleanup/2026-06-25_codex-docs-cleanup_file-management-approval-plan.md; docs/superpowers/file-management/docs-cleanup/2026-06-25_codex-docs-cleanup_git-rm-candidate-manifest.md; docs/superpowers/file-management/docs-cleanup/2026-06-29_docs-superpowers-routing-manifest.md; docs/superpowers/file-management/docs-cleanup/2026-06-29_obsidian-source-copy-stub-batch.md; docs/superpowers/file-management/docs-cleanup/2026-06-30_source-copy-stub-removal-approval-packet.md; docs/superpowers/file-management/docs-cleanup/audits/2026-06-25_codex-docs-cleanup_public-surface-stub-audit.md; docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	0	generated_index:1; support_surface_retained:9	active_support_surface:6; archived_retention_anchor:3	docs/superpowers/README.md; docs/superpowers/file-management/docs-cleanup/2026-06-25_codex-docs-cleanup_file-management-approval-plan.md; docs/superpowers/file-management/docs-cleanup/2026-06-25_codex-docs-cleanup_git-rm-candidate-manifest.md; docs/superpowers/file-management/docs-cleanup/2026-06-29_docs-superpowers-routing-manifest.md; docs/superpowers/file-management/docs-cleanup/2026-06-29_obsidian-source-copy-stub-batch.md; docs/superpowers/file-management/docs-cleanup/2026-06-30_source-copy-stub-removal-approval-packet.md; docs/superpowers/file-management/docs-cleanup/audits/2026-06-25_codex-docs-cleanup_public-surface-stub-audit.md; docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	none
alignment	subcontracts_with_owner	3	0	0	1	1	0	1	0	docs/product/alignment.md	docs/superpowers/topics/alignment/	XIC/20 Archived Plans And Specs/Topic Archives/Alignment/	confirm each sub-contract still points at the canonical owner and does not duplicate another sub-contract	none	none	docs/superpowers/specs/2026-06-01-c6-alignment-stage-semantics-value-assessment-design.md	docs/product/alignment.md	docs/superpowers/topics/alignment/README.md	docs/superpowers/validation/cid_nl_product_ready_alignment_v1/README.md	none	docs/superpowers/specs/2026-06-01-c6-alignment-stage-semantics-value-assessment-design.md; docs/superpowers/topics/alignment/README.md; docs/superpowers/validation/cid_nl_product_ready_alignment_v1/README.md	0	generated_index:1; sub_contract_retained:1; support_surface_retained:1	authority_or_status_anchor:1	docs/superpowers/validation/cid_nl_product_ready_alignment_v1/README.md	none
architecture and cleanup	subcontracts_with_owner	2	0	0	1	0	0	1	0	docs/architecture-contract.md	docs/superpowers/topics/architecture-cleanup/	XIC/20 Archived Plans And Specs/Topic Archives/Architecture And Cleanup/	confirm each sub-contract still points at the canonical owner and does not duplicate another sub-contract	none	none	docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md	docs/architecture-contract.md	docs/superpowers/topics/architecture-cleanup/README.md	none	none	docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md; docs/superpowers/topics/architecture-cleanup/README.md	0	generated_index:1; sub_contract_retained:1	none	none	none
backfill and quant matrix	subcontracts_with_owner	98	0	0	7	90	0	1	0	docs/product/backfill.md; docs/product/quant-matrix.md	docs/superpowers/topics/backfill-and-quant-matrix/	XIC/20 Archived Plans And Specs/Topic Archives/Backfill And Quant Matrix/	confirm each sub-contract still points at the canonical owner and does not duplicate another sub-contract	none	none	docs/superpowers/plans/2026-06-19-backfill-quant-matrix-product-blueprint.md; docs/superpowers/specs/2026-05-30-sidecar-to-product-label-activation-contract.md; docs/superpowers/specs/2026-06-03-full-untarget-peak-hypothesis-final-matrix-contract.md; docs/superpowers/specs/2026-06-03-selected-full-envelope-quantitation-boundary-spec.md; docs/superpowers/specs/2026-06-13-backfill-integration-policy-spec.md; docs/superpowers/specs/2026-06-23-final-matrix-row-completion-confidence-benchmark-design.md; docs/superpowers/specs/peak_choice_truth_protocol.v1.md	docs/product/backfill.md; docs/product/backfill.md; docs/product/quant-matrix.md; docs/product/quant-matrix.md	docs/superpowers/topics/backfill-and-quant-matrix/README.md	docs/superpowers/notes/2026-05-19-seed-aware-backfill-review-index.md; docs/superpowers/notes/2026-05-28-pr70-alignment-matrix-handoff-raw-validation-note.md; docs/superpowers/notes/backfill_broad_autowrite_feasibility_gate_v1.md; docs/superpowers/validation/backfill_expansion_census_v1/README.md; docs/superpowers/validation/backfill_expansion_clean_target_full_chain_replay_v1/README.md; docs/superpowers/validation/backfill_expansion_clean_target_selective_product_activation_v1/README.md; docs/superpowers/validation/backfill_expansion_default_product_activation_v1/README.md; docs/superpowers/validation/backfill_expansion_evidence_availability_v1/README.md	none	docs/superpowers/notes/2026-05-19-seed-aware-backfill-review-index.md; docs/superpowers/notes/2026-05-28-pr70-alignment-matrix-handoff-raw-validation-note.md; docs/superpowers/notes/backfill_broad_autowrite_feasibility_gate_v1.md; docs/superpowers/plans/2026-06-19-backfill-quant-matrix-product-blueprint.md; docs/superpowers/specs/2026-05-30-sidecar-to-product-label-activation-contract.md; docs/superpowers/specs/2026-06-03-full-untarget-peak-hypothesis-final-matrix-contract.md; docs/superpowers/specs/2026-06-03-selected-full-envelope-quantitation-boundary-spec.md; docs/superpowers/specs/2026-06-13-backfill-integration-policy-spec.md	0	generated_index:1; sub_contract_retained:7; support_surface_retained:90	active_support_surface:2; authority_or_status_anchor:88	docs/superpowers/notes/2026-05-19-seed-aware-backfill-review-index.md; docs/superpowers/notes/2026-05-28-pr70-alignment-matrix-handoff-raw-validation-note.md; docs/superpowers/notes/backfill_broad_autowrite_feasibility_gate_v1.md; docs/superpowers/validation/backfill_expansion_census_v1/README.md; docs/superpowers/validation/backfill_expansion_clean_target_full_chain_replay_v1/README.md; docs/superpowers/validation/backfill_expansion_clean_target_selective_product_activation_v1/README.md; docs/superpowers/validation/backfill_expansion_default_product_activation_v1/README.md; docs/superpowers/validation/backfill_expansion_evidence_availability_v1/README.md	none
discovery	subcontracts_with_owner	6	0	0	1	4	0	1	0	docs/product/discovery.md	docs/superpowers/topics/discovery/	XIC/20 Archived Plans And Specs/Topic Archives/Discovery/	confirm each sub-contract still points at the canonical owner and does not duplicate another sub-contract	none	none	docs/superpowers/specs/2026-05-12-untargeted-performance-architecture-spec.md	docs/product/discovery.md	docs/superpowers/topics/discovery/README.md	docs/superpowers/plans/2026-06-21-cid-nl-discovery-product-roadmap.md; docs/superpowers/plans/2026-06-28-family-abstraction-removal.md; docs/superpowers/validation/cid_nl_discovery_full_scope_classification_v1/README.md; docs/superpowers/validation/discovery_precursor_inference_v1/README.md	none	docs/superpowers/plans/2026-06-21-cid-nl-discovery-product-roadmap.md; docs/superpowers/plans/2026-06-28-family-abstraction-removal.md; docs/superpowers/specs/2026-05-12-untargeted-performance-architecture-spec.md; docs/superpowers/topics/discovery/README.md; docs/superpowers/validation/cid_nl_discovery_full_scope_classification_v1/README.md; docs/superpowers/validation/discovery_precursor_inference_v1/README.md	0	generated_index:1; sub_contract_retained:1; support_surface_retained:4	active_support_surface:1; authority_or_status_anchor:2; source_copy_stub_retained:1	docs/superpowers/plans/2026-06-21-cid-nl-discovery-product-roadmap.md; docs/superpowers/validation/cid_nl_discovery_full_scope_classification_v1/README.md; docs/superpowers/validation/discovery_precursor_inference_v1/README.md	none
evidence semantics	subcontracts_with_owner	19	0	0	4	13	0	1	1	docs/product/evidence-spine.md; docs/lc-msms-evidence-rules.md	docs/superpowers/topics/evidence-semantics/	XIC/20 Archived Plans And Specs/Topic Archives/Evidence Semantics/	confirm each sub-contract still points at the canonical owner and does not duplicate another sub-contract	none	none	docs/superpowers/specs/2026-06-02-cross-sample-peak-group-public-behavior-addendum.md; docs/superpowers/specs/2026-06-02-region-boundary-public-behavior-addendum.md; docs/superpowers/specs/2026-06-02-selected-hypothesis-evidence-decision-public-behavior-addendum.md; docs/superpowers/specs/2026-06-02-selected-hypothesis-model-selection-parity-spec.md	docs/product/evidence-spine.md; docs/product/family-hypothesis-boundary.md	docs/superpowers/topics/evidence-semantics/README.md	docs/superpowers/notes/2026-06-28-identity-evidence-authority-hardening.md; docs/superpowers/productization/evidence/2026-06-17_cc-framework-improvements_productization_handoff-prune_34cdf61d.md; docs/superpowers/validation/RETENTION.md; docs/superpowers/validation/cid_nl_default_activation_cell_local_identity_gate_v1/README.md; docs/superpowers/validation/cid_nl_default_activation_remaining_identity_gate_v1/README.md; docs/superpowers/validation/evidence_chain_source_of_truth.md; docs/superpowers/validation/identity_coherence_v04_8raw_acceptance_handoff.md; docs/superpowers/validation/lockbox_review_packets_v1/LOCKBOXV1_7513D61264B6D6BA90652D3B.md	none	docs/superpowers/handoffs/README.md; docs/superpowers/notes/2026-06-28-identity-evidence-authority-hardening.md; docs/superpowers/productization/evidence/2026-06-17_cc-framework-improvements_productization_handoff-prune_34cdf61d.md; docs/superpowers/specs/2026-06-02-cross-sample-peak-group-public-behavior-addendum.md; docs/superpowers/specs/2026-06-02-region-boundary-public-behavior-addendum.md; docs/superpowers/specs/2026-06-02-selected-hypothesis-evidence-decision-public-behavior-addendum.md; docs/superpowers/specs/2026-06-02-selected-hypothesis-model-selection-parity-spec.md; docs/superpowers/topics/evidence-semantics/README.md	0	delegated_handoff_retention:1; generated_index:1; sub_contract_retained:4; support_surface_retained:13	active_support_surface:1; authority_or_status_anchor:11; mechanical_referrer_anchor:1	docs/superpowers/notes/2026-06-28-identity-evidence-authority-hardening.md; docs/superpowers/productization/evidence/2026-06-17_cc-framework-improvements_productization_handoff-prune_34cdf61d.md; docs/superpowers/validation/RETENTION.md; docs/superpowers/validation/cid_nl_default_activation_cell_local_identity_gate_v1/README.md; docs/superpowers/validation/cid_nl_default_activation_remaining_identity_gate_v1/README.md; docs/superpowers/validation/evidence_chain_source_of_truth.md; docs/superpowers/validation/identity_coherence_v04_8raw_acceptance_handoff.md; docs/superpowers/validation/lockbox_review_packets_v1/LOCKBOXV1_7513D61264B6D6BA90652D3B.md	none
productization	subcontracts_with_owner	9	1	1	2	5	0	1	0	docs/product/productization.md; docs/superpowers/plans/2026-06-15-productization-control-plane.md	docs/superpowers/topics/productization/	XIC/20 Archived Plans And Specs/Topic Archives/Productization/	confirm each sub-contract still points at the canonical owner and does not duplicate another sub-contract	docs/superpowers/plans/2026-06-15-productization-control-plane.md	docs/superpowers/plans/2026-06-15-productization-control-plane.md	docs/superpowers/specs/2026-05-28-product-priority-reset-decision-spec.md; docs/superpowers/specs/2026-06-02-public-behavior-retirement-productization-design.md	docs/product/productization.md	docs/superpowers/topics/productization/README.md	docs/superpowers/goals/README.md; docs/superpowers/goals/XIC_Extractor_Productization_Roadmap_Review.md; docs/superpowers/plans/README.md; docs/superpowers/productization/status/cc-framework-improvements-productization.md; docs/superpowers/pulse-reports/README.md	none	docs/superpowers/goals/README.md; docs/superpowers/goals/XIC_Extractor_Productization_Roadmap_Review.md; docs/superpowers/plans/2026-06-15-productization-control-plane.md; docs/superpowers/plans/README.md; docs/superpowers/productization/status/cc-framework-improvements-productization.md; docs/superpowers/pulse-reports/README.md; docs/superpowers/specs/2026-05-28-product-priority-reset-decision-spec.md; docs/superpowers/specs/2026-06-02-public-behavior-retirement-productization-design.md	0	canonical_owner:1; generated_index:1; sub_contract_retained:2; support_surface_retained:5	active_support_surface:5	docs/superpowers/goals/README.md; docs/superpowers/goals/XIC_Extractor_Productization_Roadmap_Review.md; docs/superpowers/plans/README.md; docs/superpowers/productization/status/cc-framework-improvements-productization.md; docs/superpowers/pulse-reports/README.md	none
run provenance	subcontracts_with_owner	2	0	0	1	0	0	1	0	docs/product/run-provenance.md	docs/superpowers/topics/run-provenance/	XIC/20 Archived Plans And Specs/Topic Archives/Run Provenance/	confirm each sub-contract still points at the canonical owner and does not duplicate another sub-contract	none	none	docs/superpowers/specs/2026-06-15-method-manifest-v1-spec.md	docs/product/run-provenance.md	docs/superpowers/topics/run-provenance/README.md	none	none	docs/superpowers/specs/2026-06-15-method-manifest-v1-spec.md; docs/superpowers/topics/run-provenance/README.md	0	generated_index:1; sub_contract_retained:1	none	none	none
sample metadata and qc	subcontracts_with_owner	2	0	0	1	0	0	1	0	docs/product/sample-metadata-qc.md	docs/superpowers/topics/sample-metadata-qc/	XIC/20 Archived Plans And Specs/Topic Archives/Sample Metadata And QC/	confirm each sub-contract still points at the canonical owner and does not duplicate another sub-contract	none	none	docs/superpowers/specs/2026-06-15-sample-metadata-contract-v1-spec.md	docs/product/sample-metadata-qc.md	docs/superpowers/topics/sample-metadata-qc/README.md	none	none	docs/superpowers/specs/2026-06-15-sample-metadata-contract-v1-spec.md; docs/superpowers/topics/sample-metadata-qc/README.md	0	generated_index:1; sub_contract_retained:1	none	none	none
targeted selection	subcontracts_with_owner	3	0	0	2	0	0	1	0	docs/product/targeted-selection.md; docs/product/review-roundtrip.md	docs/superpowers/topics/targeted-selection/	XIC/20 Archived Plans And Specs/Topic Archives/Targeted Selection/	confirm each sub-contract still points at the canonical owner and does not duplicate another sub-contract	none	none	docs/superpowers/specs/2026-06-03-target-pair-rt-auto-reselection-spec.md; docs/superpowers/specs/2026-06-15-review-roundtrip-v1-spec.md	docs/product/review-roundtrip.md; docs/product/targeted-selection.md	docs/superpowers/topics/targeted-selection/README.md	none	none	docs/superpowers/specs/2026-06-03-target-pair-rt-auto-reselection-spec.md; docs/superpowers/specs/2026-06-15-review-roundtrip-v1-spec.md; docs/superpowers/topics/targeted-selection/README.md	0	generated_index:1; sub_contract_retained:2	none	none	none
