item	value
run_dir	output/product_priority_reset_phase1/alignment_85raw_primary_delivery_fix
run_exit_code	0
shell_wall_clock_s	596.6
timing_alignment_s	775.6
output_level	validation-minimal
backfill_scope	production-equivalent
audit_evidence_mode	none
performance_profile	validation-fast
owner_backfill_window_strategy	super-window
owner_backfill_superwindow_span_factor	2
alignment_matrix_rows	597
alignment_matrix_sha256	53EC16DA87D7BC3AE02C88120E5FBBD22CB45BB4C7FFCA07F605EE7D9EA8564D
alignment_review_rows	21812
alignment_review_sha256	17C478A04A8B97058AB473702933D0DC38D7ACF237AC56ECF52B69A2B4776E20
alignment_cells_rows	1854020
alignment_cells_sha256	FFC309A7A249742D8C0CEC9DCE9063A0F3620D902B7193B13A7D882434683B93
timing_json_sha256	A15F7EC0EF42AC52C6FFB8D315F27B867C487157D394D52C4489A8C9AADC9157
metadata_json_sha256	FEBBBC775025EDDA1884D65BC507F0EA90C1C74CECFA10215D0F63F993456FDE
production_family_rows	597
primary_row_flags_blank	216
primary_row_flags_rescue_heavy	376
primary_row_flags_rescue_heavy_weak_seed_tolerated	5
single_dr_summary_sha256	FCF35FDE3EB7D80DB18BEB888417CAFB557F21674321ACCA3114856F477545CD
single_dr_risky_extreme_backfill_rows	0
single_dr_risky_weak_seed_backfill_rows	0
single_dr_watch_duplicate_rescue_rows	0
owner_backfill_economics_summary_sha256	9BCA290AAE33E90826DF03856BB8FDC51568A4351EF6FFC657AE678466BE8086
targeted_istd_summary_sha256	272C842057A666063564EE36D5CA76A2B51AE4505AC842481ADC80CB17C70375
targeted_istd_strict_status	FAIL_AREA_MISMATCH_KNOWN_QUANTITATIVE
targeted_istd_known_area_mismatch_targets	d4-N6-2HE-dA;d3-N6-medA
qualitative_delivery_blockers	0
final_qualitative_gate	production_candidate_with_watch_rows
