contract_schema_version	sentinel_id	feature_family_id	sample_id	sentinel_case_type	expected_peak_hypothesis_id	expected_product_unit_scope	expected_selected_mode_id	expected_peak_hypothesis_status	expected_product_selection_action	expected_activation_unit_scope	expected_activation_boundary	expected_canonical_identity_effect	required_evidence_oracle	expectation_reason
shared_peak_identity_mode_window_assignment_contract_v0	FAM011810_blue_benign_candidate	FAM011810	BenignfatBC1055_DNA	multi_peak_tag_bearing_core	FAM011810::irt_blue_core	mode_level	irt_blue_core	product_candidate_core	select_mode_peak_hypothesis	peak_hypothesis	activation_candidate_only	partial_until_no_family_projection	manual_overlay_ms1_qc_rt_ms2	FAM011810 blue/core benign cell may be a product candidate only through typed mode assignment and aligned evidence.
shared_peak_identity_mode_window_assignment_contract_v0	FAM011810_blue_normal_candidate	FAM011810	NormalBC2312_DNA	multi_peak_tag_bearing_core	FAM011810::irt_blue_core	mode_level	irt_blue_core	product_candidate_core	select_mode_peak_hypothesis	peak_hypothesis	activation_candidate_only	partial_until_no_family_projection	manual_overlay_ms1_qc_rt_ms2	FAM011810 blue/core normal cell may be a product candidate only through typed mode assignment and aligned evidence.
shared_peak_identity_mode_window_assignment_contract_v0	FAM011810_green_tumor_wrong_peak	FAM011810	TumorBC2263_DNA	multi_peak_non_tag_mode	FAM011810::irt_green_core	sample_cell	irt_green_core	cross_mode_rescue_blocked	block_cross_mode_rescue	sample_cell	auto_block_wrong_peak	partial_until_no_family_projection	manual_overlay_ms1_qc_rt_ms2	FAM011810 TumorBC2263 is the wrong typed mode and must remain blocked instead of retargeted.
shared_peak_identity_mode_window_assignment_contract_v0	FAM019990_tag_conditioned_subwindow	FAM019990	TumorBC2312_DNA	tag_conditioned_subwindow	FAM019990::raw_mode_1	review_only	raw_mode_1	raw_mode_review_only	require_raw_mode_review	peak_hypothesis	activation_ineligible_until_typed_subwindow	review_only	raw_overlay_plus_tag_review	FAM019990 needs typed/tag-conditioned subwindow confirmation; raw-mode concentration alone cannot activate.
shared_peak_identity_mode_window_assignment_contract_v0	FAM015168_tailing_confounded	FAM015168	Breast_Cancer_Tissue_pooled_QC5	tailing_confounded	FAM015168::raw_mode_1_8.43min	review_only	raw_mode_1_8.43min	tailing_review_only	require_tailing_review	not_applicable	review_required	review_only	manual_overlay_shape_review	FAM015168 ugly/tailing peak shape must stay review-only and must not force a split or activation.
shared_peak_identity_mode_window_assignment_contract_v0	FAM001473_raw_overlay_not_authority	FAM001473	TumorBC2312_DNA	raw_overlay_authority_leak	FAM001473::raw_mode_1_19.27min	review_only	raw_mode_1_19.27min	raw_mode_review_only	require_raw_mode_review	peak_hypothesis	activation_ineligible	raw_overlay_review_only	legacy_overlay_product_status_ignored	FAM001473 raw/overlay mode evidence must not pass through as product authority.
shared_peak_identity_mode_window_assignment_contract_v0	FAM005937_dominant_core_with_outlier	FAM005937	BenignfatBC1055_DNA	dominant_core_small_outlier	FAM005937::raw_mode_1_14.34min	review_only	raw_mode_1_14.34min	raw_mode_review_only	require_raw_mode_review	peak_hypothesis	activation_ineligible_until_typed_mode	review_only	manual_overlay_ms1_qc_rt_ms2	FAM005937 dominant core remains review-only until typed mode authority exists; small outliers must be explicit rather than silently swallowed.
shared_peak_identity_mode_window_assignment_contract_v0	FAM002625_raw_single_mode_review_only	FAM002625	TumorBC2263_DNA	raw_single_mode_with_tag	FAM002625::raw_mode_1	review_only	raw_mode_1	raw_mode_review_only	require_raw_mode_review	peak_hypothesis	activation_ineligible_until_typed_mode	review_only	raw_mode_not_clustering_authority	FAM002625 cannot auto-activate from raw single-mode/tag context without typed mode-hypothesis authority.
shared_peak_identity_mode_window_assignment_contract_v0	QC_nearest_conflict_not_standalone_veto	__QC_POLICY__	__qc_context__	qc_local_vs_consensus	not_applicable	not_applicable	not_applicable	not_applicable	no_product_action	not_applicable	context_conflict_gate	not_applicable	local_and_consensus_qc_artifact	Nearest QC conflict is context only unless consensus and sample-level evidence agree on a wrong-peak conflict.
shared_peak_identity_mode_window_assignment_contract_v0	ISTD_non_parallel_drift_review	__ISTD_POLICY__	__istd_context__	istd_drift_non_parallel	not_applicable	not_applicable	not_applicable	not_applicable	no_product_action	not_applicable	review_required	not_applicable	istd_phase_and_anchor_trend_artifact	Non-parallel ISTD drift is a review signal and must not be converted into a hard identity rule without sample evidence.
